운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용가능시간,이용자 제한,급속충전량,비고,주소2
제주특별자치도,제주시 평생학습센터,2,AC완속,제주특별자치도,제주시,제주특별자치도 제주시 사라봉동길 15(건입동),24시간 이용가능,제한없음,,,사라봉동길 15(건입동)
제주특별자치도,제주시각애인복지관,1,DC차데모+AC3상+DC콤보,제주특별자치도,제주시,제주특별자치도 제주시 아봉로 433(월평동 420-1),24시간 이용가능,제한없음,,,아봉로 433(월평동 420-1)
제주특별자치도,제주시청,1,DC차데모+AC3상+DC콤보,제주특별자치도,제주시,제주특별자치도 제주시 광양9길 10제주시청(이도이동 1176-1),24시간 이용가능,제한없음,,,광양9길 10제주시청(이도이동 1176-1)
제주특별자치도,제주시청,2,DC차데모+AC3상+DC콤보,제주특별자치도,제주시,제주특별자치도 제주시 광양9길 10제주시청(이도이동 1176-1),24시간 이용가능,제한없음,,,광양9길 10제주시청(이도이동 1176-1)
제주특별자치도,제주시청,3,DC차데모+AC3상+DC콤보,제주특별자치도,제주시,제주특별자치도 제주시 광양9길 10제주시청(이도이동 1176-1),24시간 이용가능,제한없음,,,광양9길 10제주시청(이도이동 1176-1)
제주특별자치도,제주시청,4,DC차데모+AC3상+DC콤보,제주특별자치도,제주시,제주특별자치도 제주시 광양9길 10제주시청(이도이동 1176-1),24시간 이용가능,제한없음,,,광양9길 10제주시청(이도이동 1176-1)
제주특별자치도,제주시청,5,AC완속,제주특별자치도,제주시,제주특별자치도 제주시 광양9길 10제주시청(이도이동 1176-1),24시간 이용가능,제한없음,,,광양9길 10제주시청(이도이동 1176-1)
제주특별자치도,제주시청,6,AC완속,제주특별자치도,제주시,제주특별자치도 제주시 광양9길 10제주시청(이도이동 1176-1),24시간 이용가능,제한없음,,,광양9길 10제주시청(이도이동 1176-1)
제주특별자치도,제주시청,7,AC완속,제주특별자치도,제주시,제주특별자치도 제주시 광양9길 10제주시청(이도이동 1176-1),24시간 이용가능,제한없음,,,광양9길 10제주시청(이도이동 1176-1)
제주특별자치도,제주시청,8,AC완속,제주특별자치도,제주시,제주특별자치도 제주시 광양9길 10제주시청(이도이동 1176-1),24시간 이용가능,제한없음,,,광양9길 10제주시청(이도이동 1176-1)
제주특별자치도,제주시청,9,AC완속,제주특별자치도,제주시,제주특별자치도 제주시 광양9길 10제주시청(이도이동 1176-1),24시간 이용가능,제한없음,,,광양9길 10제주시청(이도이동 1176-1)
제주특별자치도,제주시청,10,AC완속,제주특별자치도,제주시,제주특별자치도 제주시 광양9길 10제주시청(이도이동 1176-1),24시간 이용가능,제한없음,,,광양9길 10제주시청(이도이동 1176-1)
제주특별자치도,제주시청,11,AC완속,제주특별자치도,제주시,제주특별자치도 제주시 광양9길 10제주시청(이도이동 1176-1),24시간 이용가능,제한없음,,,광양9길 10제주시청(이도이동 1176-1)
제주특별자치도,제주시청,12,DC차데모+AC3상+DC콤보,제주특별자치도,제주시,제주특별자치도 제주시 광양9길 10제주시청(이도이동 1176-1),24시간 이용가능,제한없음,,,광양9길 10제주시청(이도이동 1176-1)
제주특별자치도,제주시청 열린정보센터(지하),1,AC완속,제주특별자치도,제주시,제주특별자치도 제주시 광양9길 17(이도이동),24시간 이용가능,제한없음,,,광양9길 17(이도이동)
제주특별자치도,제주시청 열린정보센터(지하),2,AC완속,제주특별자치도,제주시,제주특별자치도 제주시 광양9길 17(이도이동),24시간 이용가능,제한없음,,,광양9길 17(이도이동)
